Fecha,Lugar,1.-Homicidios dolosos y asesinatos consumados,2.-Homicidios dolosos y asesinatos en grado tentativa,3.-Delitos graves y menos graves de lesiones y riña tumultuaria,4.-Secuestro,5. Delitos contra la libertad sexual,5.1.-Agresión sexual con penetración,5.2.-Resto de delitos contra la libertad sexual,6.-Robos con violencia e intimidación,"7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",7.1.-Robos con fuerza en domicilios,8.-Hurtos,9.-Sustracciones de vehículos,10.-Tráfico de drogas,III. TOTAL INFRACCIONES PENALES
2017,ANDALUCÍA,49,207,2930,15,2064,173,1891,7668,24718,17276,103746,8755,3472,334331
2017,Provincia de ALMERÍA,5,13,319,0,184,17,167,588,2768,2260,7794,510,267,29401
2017,04013 Almería,1,10,86,0,49,3,46,240,517,387,2830,219,63,9043
2017,04902 Ejido (El),1,1,60,0,28,2,26,64,285,215,845,56,39,3706
2017,04079 Roquetas de Mar,0,0,59,0,32,5,27,145,553,492,1839,81,42,6008
2017,Provincia de CÁDIZ,6,49,529,5,287,22,265,871,3143,2086,15403,1580,818,50174
2017,11004 Algeciras,1,11,57,3,30,3,27,155,236,167,1343,148,313,5047
2017,11006 Arcos de la Frontera,1,0,12,0,3,0,3,6,50,33,160,24,13,744
2017,11012 Cádiz,0,3,55,0,40,4,36,66,311,130,2407,300,34,5581
2017,11015 Chiclana de la Frontera,1,0,20,1,18,2,16,41,406,338,769,99,29,3072
2017,11020 Jerez de la Frontera,1,2,98,1,50,4,46,238,473,295,3448,237,50,9612
2017,11022 Línea de la Concepción (La),0,8,49,0,17,0,17,45,112,74,543,134,65,2670
2017,11027 Puerto de Santa María (El),1,2,44,0,28,2,26,69,157,102,1516,92,25,4053
2017,11028 Puerto Real,0,1,8,0,8,0,8,13,85,63,394,53,6,1587
2017,11031 San Fernando,0,2,13,0,25,1,24,40,131,71,1122,152,4,3446
2017,11032 Sanlúcar de Barrameda,1,5,14,0,19,2,17,52,216,101,810,119,78,2666
2017,Provincia de CÓRDOBA,2,16,151,0,153,12,141,565,2040,1377,7232,444,148,24900
2017,14021 Córdoba,2,9,47,0,95,9,86,433,856,565,4892,337,69,14531
2017,14038 Lucena,0,0,9,0,10,2,8,33,96,65,355,14,7,1511
2017,14056 Puente Genil,0,1,9,0,4,0,4,29,173,136,331,13,5,1222
2017,Provincia de GRANADA,10,12,282,2,240,22,218,900,2548,1899,10015,787,622,33866
2017,18087 Granada,3,3,83,1,93,12,81,490,586,434,4943,389,122,12712
2017,18140 Motril,1,0,25,0,19,1,18,52,181,94,621,32,28,2236
2017,Provincia de HUELVA,0,8,181,0,127,9,118,333,1888,1357,5132,402,139,19439
2017,21041 Huelva,0,0,48,0,42,2,40,164,223,152,2396,105,46,6571
2017,Provincia de JAÉN,3,11,149,2,126,14,112,262,1002,633,3948,236,129,15816
2017,23005 Andújar,0,1,4,0,7,1,6,7,36,21,249,16,4,826
2017,23050 Jaén,1,4,25,0,33,8,25,132,260,139,1412,105,22,4663
2017,23055 Linares,0,1,13,0,11,0,11,33,56,35,469,24,19,1590
2017,23092 Úbeda,0,1,8,0,4,0,4,16,47,27,290,8,5,895
2017,Provincia de MÁLAGA,9,40,755,5,483,48,435,1523,5479,4096,27114,2252,934,77280
2017,29007 Alhaurín de la Torre,0,0,14,0,10,0,10,12,103,86,214,33,11,1078
2017,29015 Antequera,1,2,9,0,14,0,14,10,80,58,351,15,16,1201
2017,29025 Benalmádena,1,0,33,0,32,4,28,44,244,169,1402,82,34,3782
2017,29051 Estepona,1,1,20,0,19,3,16,44,397,322,952,98,52,3531
2017,29054 Fuengirola,0,5,59,0,37,5,32,110,303,210,2481,140,98,5434
2017,29067 Málaga,2,17,249,1,166,15,151,694,1038,635,10673,870,309,25418
2017,29069 Marbella,2,4,122,1,63,10,53,193,813,594,3846,458,129,11709
2017,29070 Mijas,0,2,15,0,25,1,24,91,686,606,1376,135,35,5057
2017,29082 Rincón de la Victoria,0,0,10,0,8,0,8,25,138,111,314,22,10,1245
2017,29084 Ronda,0,0,9,0,4,1,3,19,79,45,458,11,4,1237
2017,29094 Vélez-Málaga,1,0,31,2,20,0,20,40,156,106,857,75,34,2586
2017,29901 Torremolinos,0,3,59,0,25,1,24,105,192,142,1956,104,85,4834
2017,Provincia de SEVILLA,14,58,564,1,464,29,435,2626,5850,3568,27108,2544,415,83455
2017,41004 Alcalá de Guadaíra,0,2,23,0,15,1,14,73,293,217,1101,100,11,3779
2017,41034 Coria del Río,0,2,5,0,8,1,7,11,106,86,230,26,12,978
2017,41038 Dos Hermanas,4,5,40,0,7,2,5,140,324,212,1404,168,36,4987
2017,41039 Écija,0,0,7,0,9,2,7,20,66,47,327,24,3,1253
